Disease ID	Drug Combination
C0033578	('DB00007', 'DB00014', 'DB01128')
C0024299	('DB00541', 'DB00987')
C0024141	('DB00091', 'DB00860', 'DB01611')
C0011849	('DB01076', 'DB01261')
C0003811	('DB00661', 'DB04855')
C0024141	('DB00635', 'DB01611')
C0011849	('DB00678', 'DB01261')
C0011849	('DB00641', 'DB00678')
C0014544	('DB00230', 'DB00313', 'DB00996')
C0022658	('DB00695', 'DB00999')
C0024299	('DB00563', 'DB00860', 'DB00997')
C0004096	('DB00588', 'DB00635')
C0004096	('DB00471', 'DB01001')
C0024299	('DB00563', 'DB00987')
C0021390	('DB00244', 'DB00795')
C0011849	('DB00331', 'DB00641')
C0024299	('DB00541', 'DB00563')
C0011849	('DB00331', 'DB01261')
C0011849	('DB00412', 'DB00678')
C0033578	('DB00007', 'DB00014', 'DB00499', 'DB01128')
C0033578	('DB00007', 'DB01128')
C0007222	('DB00169', 'DB01076')
C0004096	('DB00852', 'DB01364')
C0010346	('DB00563', 'DB00860')
C0024299	('DB00987', 'DB00997')
C0003864	('DB00586', 'DB00788', 'DB01050')
C0009324	('DB00635', 'DB00741')
C0009324	('DB00244', 'DB00635', 'DB01033')
C0004096	('DB00635', 'DB00860')
C0033860	('DB00563', 'DB01024')
C0026769	('DB00635', 'DB00860')
C0001418	('DB00317', 'DB00530')
C0003864	('DB00635', 'DB01234')
C0011849	('DB00331', 'DB01076')
C0002395	('DB00674', 'DB00843', 'DB00989', 'DB01043')
C0014544	('DB00313', 'DB00555')
C0024299	('DB00635', 'DB00860')
C0003873	('DB00091', 'DB00860', 'DB01611')
C0006118	('DB00014', 'DB01006')
C0003864	('DB00635', 'DB01611')
C0010068	('DB00790', 'DB01076')
C0024141	('DB00091', 'DB00635')
C0030567	('DB01235', 'DB05271')
C0018799	('DB00635', 'DB00860')
C0011849	('DB00284', 'DB00331')
C0497327	('DB00843', 'DB00989')
C0011849	('DB00331', 'DB01261', 'DB06655')
C0024299	('DB00987', 'DB01073')
C0022658	('DB00741', 'DB00860')
C0011849	('DB00331', 'DB00412', 'DB01132')
C0026769	('DB00635', 'DB01204')
C0030567	('DB00714', 'DB01235')
C0011849	('DB01261', 'DB06655')
C0006118	('DB00445', 'DB01248')
C0022658	('DB00678', 'DB00999')
C0024299	('DB00563', 'DB00570')
C0006118	('DB00286', 'DB00603')
C0009324	('DB00635', 'DB00860')
C0024141	('DB00091', 'DB00860', 'DB00993', 'DB01611')
C0011849	('DB00678', 'DB01132')
C0030567	('DB00190', 'DB00494', 'DB01235')
C0004096	('DB01001', 'DB01409')
C0006118	('DB00014', 'DB01248')
C0011849	('DB00331', 'DB06655')
C0024141	('DB00635', 'DB00993')
C0004096	('DB01001', 'DB01364')
C0003811	('DB00204', 'DB00489', 'DB01118', 'DB01182', 'DB01195')
C0009319	('DB00244', 'DB00795')
C0003873	('DB00328', 'DB01050')
C1261473	('DB00851', 'DB00997')
C0033860	('DB00091', 'DB00741')
C0003811	('DB00390', 'DB00489')
C0006118	('DB00563', 'DB01248')
C0011849	('DB00222', 'DB00331', 'DB01132')
C0033578	('DB00007', 'DB00014')
C0003873	('DB00608', 'DB01611')
C0004096	('DB00277', 'DB00920')
C0003873	('DB00563', 'DB00795', 'DB01097')
C0023890	('DB00695', 'DB06212')
C0004096	('DB00635', 'DB01234')
C0009324	('DB00244', 'DB00860')
C0011849	('DB00284', 'DB01076')
C0004096	('DB00471', 'DB00549', 'DB00744')
C0024299	('DB00563', 'DB01033')
C0011849	('DB01120', 'DB01261')
C0024299	('DB00262', 'DB01206')
C0003873	('DB00091', 'DB00860', 'DB00993', 'DB01611')
C0006118	('DB00563', 'DB00997')
C0011849	('DB00222', 'DB00284', 'DB01261')
C0011849	('DB00222', 'DB00412')
C0004096	('DB00741', 'DB00860')
C0004096	('DB00635', 'DB01001')
C0011849	('DB00222', 'DB00331', 'DB00641')
C0011849	('DB00222', 'DB00331', 'DB01261')
C0003864	('DB00741', 'DB01234')
C0497327	('DB00215', 'DB00734')
C0011849	('DB00222', 'DB00331')
C0006118	('DB01101', 'DB01248')
C0003873	('DB00586', 'DB00788', 'DB01050')
